id,genre
907483,2
907492,3
907499,2
908485,2
910559,3
910562,3
911010,2
911014,3
911051,4
911055,1
911169,2
911193,1
911197,3
911202,3
911311,2
911326,4
911810,5
912067,0
912070,0
912074,2
912077,2
912124,2
912445,3
912448,0
912460,3
913168,3
913728,2
913732,3
914077,2
914143,2
914772,0
914778,5
914781,1
916842,1
916848,1
917671,3
917674,3
917677,2
917728,2
917731,2
917736,0
917959,0
917962,4
917965,3
917984,4
917987,4
918094,1
918097,4
918487,2
918553,5
918587,1
919052,5
919055,1
919058,4
919061,5
919064,5
919067,5
919070,4
919073,4
919076,5
919079,4
919082,5
919226,4
919336,2
919339,2
919342,2
919347,2
919350,2
919354,2
919468,4
919478,4
919638,0
919641,1
919770,0
919774,0
919777,3
919803,1
919807,4
919810,0
919816,1
919841,0
920486,3
920488,4
920667,5
920855,5
920997,4
921000,5
921857,3
921860,2
921866,4
921869,0
921873,2
921877,0
921973,0
922023,5
922026,3
922029,1
922032,2
923444,4
924108,0
924111,0
924751,3
924788,4
926468,3
926701,3
926705,4
926709,4
926714,5
926728,1
927653,3
927658,3
927663,0
928690,0
928693,5
928996,5
929284,5
929287,5
929290,3
929377,5
929382,1
929585,5
930303,2
930304,2
930330,2
931707,5
931711,4
931714,5
931717,5
931720,4
932393,0
933297,4
933301,4
933305,5
933310,5
933315,5
933753,0
933929,3
933932,3
933940,4
933943,0
933946,3
934195,2
935094,1
935555,4
936328,3
936331,4
936560,5
937250,4
937345,3
938331,3
938680,3
939096,4
939288,4
939370,0
939615,2
939618,2
939621,2
939624,3
939627,2
940049,4
940505,1
940749,3
942824,2
942830,5
943547,4
943717,4
944274,5
944277,5
944283,4
944408,3
945014,4
945020,0
946250,0
946896,2
946947,2
946950,2
946953,1
946956,2
947520,0
947525,3
947528,2
947531,2
947534,3
947814,4
947972,5
948131,4
948134,4
948436,1
949254,3
949307,4
949334,5
949661,4
949664,4
950912,4
951131,2
951146,4
951149,3
951154,2
951157,4
951251,4
952094,4
952441,5
952803,3
952806,2
952809,0
952812,0
954021,2
